##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV1170;네베르 ;;;;;;;;;;X
PROV1171;에킴찬 ;;;;;;;;;;X
PROV1172;예루살렘 ;;;;;;;;;;X
PROV1173;호수 ;;;;;;;;;;X
PROV1174;쿠이비솁카-보스토치나야 ;;;;;;;;;;X
PROV1175;비로비잔 ;;;;;;;;;;X
PROV1176;블라고베셴스크 ;;;;;;;;;;X
PROV1177;니우르바 ;;;;;;;;;;X
PROV1178;네자메트니 ;;;;;;;;;;X
PROV1179;야쿠츠크 ;;;;;;;;;;X
PROV1180;베르호얀스크 ;;;;;;;;;;X
PROV1181;마가단 ;;;;;;;;;;X
PROV1182;아나디리 ;;;;;;;;;;X
PROV1183;팔라나 ;;;;;;;;;;X
PROV1184;페트로파블롭스크 ;;;;;;;;;;X
PROV1185;가반 ;;;;;;;;;;X
PROV1186;오호츠크 ;;;;;;;;;;X
PROV1187;소피스크 ;;;;;;;;;;X
PROV1188;엘반 ;;;;;;;;;;X
PROV1189;니콜라옙스크-나-아무레 ;;;;;;;;;;X
PROV1190;하바롭스크 ;;;;;;;;;;X
PROV1191;블라디보스토크 ;;;;;;;;;;X
PROV1192;세묘노브카 ;;;;;;;;;;X
PROV1193;나훗카 ;;;;;;;;;;X
PROV1194;레소자보츠크 ;;;;;;;;;;X
PROV1195;테튜헤 ;;;;;;;;;;X
PROV1196;니콜스크-우수리스크 ;;;;;;;;;;X
PROV1197;허강 ;;;;;;;;;;X
PROV1198;부터아퀴 ;;;;;;;;;;X
PROV1199;하얼빈 ;;;;;;;;;;X
PROV1200;후마 ;;;;;;;;;;X
PROV1201;헤이허 ;;;;;;;;;;X
PROV1202;자무쓰 ;;;;;;;;;;X
PROV1203;치치하얼 ;;;;;;;;;;X
PROV1204;지시 ;;;;;;;;;;X
PROV1205;무단장 ;;;;;;;;;;X
PROV1206;하이라얼 ;;;;;;;;;;X
PROV1207;지린 ;;;;;;;;;;X
PROV1208;창춘 ;;;;;;;;;;X
PROV1209;우란하오터 ;;;;;;;;;;X
PROV1210;퉁랴오 호트;;;;;;;;;;X
PROV1211;훈장 ;;;;;;;;;;X
PROV1212;옌지 ;;;;;;;;;;X
PROV1213;바이청 ;;;;;;;;;;X
PROV1214;선양 ;;;;;;;;;;X
PROV1215;푸순 ;;;;;;;;;;X
PROV1216;진저우 ;;;;;;;;;;X
PROV1217;안산 ;;;;;;;;;;X
PROV1218;판진 ;;;;;;;;;;X
PROV1219;포트 아서 ;;;;;;;;;;X
PROV1220;단동 ;;;;;;;;;;X
PROV1221;평양 ;;;;;;;;;;X
PROV1222;사리원 ;;;;;;;;;;X
PROV1223;원산 ;;;;;;;;;;X
PROV1224;신의주 ;;;;;;;;;;X
PROV1225;청진 ;;;;;;;;;;X
PROV1226;강계 ;;;;;;;;;;X
PROV1227;함흥 ;;;;;;;;;;X
PROV1228;서울 ;;;;;;;;;;X
PROV1229;대전 ;;;;;;;;;;X
PROV1230;광주 ;;;;;;;;;;X
PROV1231;대구 ;;;;;;;;;;X
PROV1232;부산 ;;;;;;;;;;X
PROV1233;춘천 ;;;;;;;;;;X
PROV1234;부나 ;;;;;;;;;;X
PROV1235;푸신 ;;;;;;;;;;X
PROV1236;청더 ;;;;;;;;;;X
PROV1237;울라얀콰다 ;;;;;;;;;;X
PROV1238;후허하오터 ;;;;;;;;;;X
PROV1239;지닝 ;;;;;;;;;;X
PROV1240;시린 하오터 ;;;;;;;;;;X
PROV1241;톈진 ;;;;;;;;;;X
PROV1242;스좌장 ;;;;;;;;;;X
PROV1243;바오딩 ;;;;;;;;;;X
PROV1244;창저우 ;;;;;;;;;;X
PROV1245;탕산 ;;;;;;;;;;X
PROV1246;장위안 ;;;;;;;;;;X
PROV1247;베이징 ;;;;;;;;;;X
PROV1248;창즈 ;;;;;;;;;;X
PROV1249;양취안 ;;;;;;;;;;X
PROV1250;링추 ;;;;;;;;;;X
PROV1251;다퉁 ;;;;;;;;;;X
PROV1252;타이위안 ;;;;;;;;;;X
PROV1253;린펀 ;;;;;;;;;;X
PROV1254;허취 ;;;;;;;;;;X
PROV1255;핑량 ;;;;;;;;;;X
PROV1256;바오지 ;;;;;;;;;;X
PROV1257;퉁관 ;;;;;;;;;;X
PROV1258;시안 ;;;;;;;;;;X
PROV1259;옌안 ;;;;;;;;;;X
PROV1260;위린 ;;;;;;;;;;X
PROV1261;룽난 ;;;;;;;;;;X
PROV1262;린샤 ;;;;;;;;;;X
PROV1263;톈수이 ;;;;;;;;;;X
PROV1264;란저우 ;;;;;;;;;;X
PROV1265;장예 ;;;;;;;;;;X
PROV1266;위먼 ;;;;;;;;;;X
PROV1267;안캉 ;;;;;;;;;;X
PROV1268;인촨 ;;;;;;;;;;X
PROV1269;우카이 ;;;;;;;;;;X
PROV1270;린허 ;;;;;;;;;;X
PROV1271;우중 ;;;;;;;;;;X
PROV1272;바옌 호트 ;;;;;;;;;;X
PROV1273;알타이 ;;;;;;;;;;X
PROV1274;카르칸 ;;;;;;;;;;X
PROV1275;아크수 ;;;;;;;;;;X
PROV1276;카라마이 ;;;;;;;;;;X
PROV1277;쿠물 ;;;;;;;;;;X
PROV1278;숨도 ;;;;;;;;;;X
PROV1279;카슈가르 ;;;;;;;;;;X
PROV1280;굴자 ;;;;;;;;;;X
PROV1281;우루무치 ;;;;;;;;;;X
PROV1282;호탄 ;;;;;;;;;;X
PROV1283;거얼무 ;;;;;;;;;;X
PROV1284;시닝 ;;;;;;;;;;X
PROV1285;위수 ;;;;;;;;;;X
PROV1286;센게 카밥 ;;;;;;;;;;X
PROV1287;게쩨 ;;;;;;;;;;X
PROV1288;시가체 ;;;;;;;;;;X
PROV1289;라사 ;;;;;;;;;;X
PROV1290;리워체 ;;;;;;;;;;X
PROV1291;시창 ;;;;;;;;;;X
PROV1292;야안 ;;;;;;;;;;X
PROV1293;판쯔화 ;;;;;;;;;;X
PROV1294;참도 ;;;;;;;;;;X
PROV1295;닝치 ;;;;;;;;;;X
PROV1296;관 ;;;;;;;;;;X
PROV1297;청두 ;;;;;;;;;;X
PROV1298;루저우 ;;;;;;;;;;X
PROV1299;충칭 ;;;;;;;;;;X
PROV1300;이빈 ;;;;;;;;;;X
PROV1301;푸링 ;;;;;;;;;;X
PROV1302;완셴 ;;;;;;;;;;X
PROV1303;안순 ;;;;;;;;;;X
PROV1304;쭌이 ;;;;;;;;;;X
PROV1305;구이양 ;;;;;;;;;;X
PROV1306;카이리 ;;;;;;;;;;X
PROV1307;화이화 ;;;;;;;;;;X
PROV1308;창사 ;;;;;;;;;;X
PROV1309;샹탄 ;;;;;;;;;;X
PROV1310;창더 ;;;;;;;;;;X
PROV1311;천저우 ;;;;;;;;;;X
PROV1312;헝양 ;;;;;;;;;;X
PROV1313;사스 ;;;;;;;;;;X
PROV1314;시옌 ;;;;;;;;;;X
PROV1315;이창 ;;;;;;;;;;X
PROV1316;쑤이저우 ;;;;;;;;;;X
PROV1317;우한 ;;;;;;;;;;X
PROV1318;황스 ;;;;;;;;;;X
PROV1319;카이펑 ;;;;;;;;;;X
PROV1320;쉬창 ;;;;;;;;;;X
PROV1321;신샹 ;;;;;;;;;;X
PROV1322;뤄양 ;;;;;;;;;;X
PROV1323;안양 ;;;;;;;;;;X
PROV1324;정저우 ;;;;;;;;;;X
PROV1325;난양 ;;;;;;;;;;X
PROV1326;신양 ;;;;;;;;;;X
PROV1327;허쩌 ;;;;;;;;;;X
PROV1328;칭다오 ;;;;;;;;;;X
PROV1329;웨이팡 ;;;;;;;;;;X
PROV1330;지난 ;;;;;;;;;;X
PROV1331;옌타이 ;;;;;;;;;;X
PROV1332;짜오좡 ;;;;;;;;;;X
PROV1333;화이인 ;;;;;;;;;;X
PROV1334;난퉁 ;;;;;;;;;;X
PROV1335;옌청 ;;;;;;;;;;X
PROV1336;쉬저우 ;;;;;;;;;;X
PROV1337;난징 ;;;;;;;;;;X
PROV1338;상하이 ;;;;;;;;;;X
PROV1339;쑤저우 ;;;;;;;;;;X
PROV1340;허페이 ;;;;;;;;;;X
PROV1341;푸양 ;;;;;;;;;;X
PROV1342;쉬안저우 ;;;;;;;;;;X
PROV1343;화이난 ;;;;;;;;;;X
PROV1344;안칭 ;;;;;;;;;;X
PROV1345;항저우 ;;;;;;;;;;X
PROV1346;닝보 ;;;;;;;;;;X
PROV1347;원저우 ;;;;;;;;;;X
PROV1348;진화 ;;;;;;;;;;X
PROV1349;신간 ;;;;;;;;;;X
PROV1350;징더전 ;;;;;;;;;;X
PROV1351;상라오 ;;;;;;;;;;X
PROV1352;난창 ;;;;;;;;;;X
PROV1353;주장 ;;;;;;;;;;X
PROV1354;간저우 ;;;;;;;;;;X
PROV1355;지안 ;;;;;;;;;;X
PROV1356;장저우 ;;;;;;;;;;X
PROV1357;난핑 ;;;;;;;;;;X
PROV1358;푸저우 ;;;;;;;;;;X
PROV1359;싼밍 ;;;;;;;;;;X
PROV1360;샤먼 ;;;;;;;;;;X
PROV1361;가오슝 ;;;;;;;;;;X
PROV1362;타이페이 ;;;;;;;;;;X
PROV1363;타이중 ;;;;;;;;;;X
PROV1364;화롄 ;;;;;;;;;;X
PROV1365;하이커우 ;;;;;;;;;;X
PROV1366;호수 ;;;;;;;;;;X
PROV1367;나오밍 ;;;;;;;;;;X
PROV1368;샤오관 ;;;;;;;;;;X
PROV1369;광저우 ;;;;;;;;;;X
PROV1370;루펑 ;;;;;;;;;;X
PROV1371;홍콩 ;;;;;;;;;;X
PROV1372;마카오 ;;;;;;;;;;X
PROV1373;장먼 ;;;;;;;;;;X
PROV1374;핑샹 ;;;;;;;;;;X
PROV1375;산터우 ;;;;;;;;;;X
PROV1376;더바오 ;;;;;;;;;;X
PROV1377;위린 ;;;;;;;;;;X
PROV1378;구이린 ;;;;;;;;;;X
PROV1379;난닝 ;;;;;;;;;;X
PROV1380;류저우 ;;;;;;;;;;X
PROV1381;바이써 ;;;;;;;;;;X
PROV1382;허츠 ;;;;;;;;;;X
PROV1383;우저우 ;;;;;;;;;;X
PROV1384;루시 ;;;;;;;;;;X
PROV1385;다리 ;;;;;;;;;;X
PROV1386;푸얼 ;;;;;;;;;;X
PROV1387;징훙 ;;;;;;;;;;X
PROV1388;거주 ;;;;;;;;;;X
PROV1389;바오산 ;;;;;;;;;;X
PROV1390;쿤밍 ;;;;;;;;;;X
PROV1391;무앙 샤이나불리 ;;;;;;;;;;X
PROV1392;하이 퐁 ;;;;;;;;;;X
PROV1393;호아 빈 ;;;;;;;;;;X
PROV1394;빡세 ;;;;;;;;;;X
PROV1395;하노이 ;;;;;;;;;;X
PROV1396;동 허이 ;;;;;;;;;;X
PROV1397;다 낭 ;;;;;;;;;;X
PROV1398;룸팟 ;;;;;;;;;;X
PROV1399;사이공 ;;;;;;;;;;X
PROV1400;프놈 펜 ;;;;;;;;;;X
PROV1401;씨엠 립 ;;;;;;;;;;X
PROV1402;바탐방 ;;;;;;;;;;X
PROV1403;껀 터 ;;;;;;;;;;X
PROV1404;무앙 싸이 ;;;;;;;;;;X
PROV1405;비엔티안 ;;;;;;;;;;X
PROV1406;하카 ;;;;;;;;;;X
PROV1407;인다우 ;;;;;;;;;;X
PROV1408;미치나 ;;;;;;;;;;X
PROV1409;라시오 ;;;;;;;;;;X
PROV1410;만달레이 ;;;;;;;;;;X
PROV1411;파코쿠 ;;;;;;;;;;X
PROV1412;타웅지 ;;;;;;;;;;X
PROV1413;켕퉁 ;;;;;;;;;;X
PROV1414;푸타오 ;;;;;;;;;;X
PROV1415;랑군 ;;;;;;;;;;X
PROV1416;모울메인 ;;;;;;;;;;X
PROV1417;페구 ;;;;;;;;;;X
PROV1418;타보이 ;;;;;;;;;;X
PROV1419;바세인 ;;;;;;;;;;X
PROV1420;아키아브 ;;;;;;;;;;X
PROV1421;포트 블레어 ;;;;;;;;;;X
PROV1422;촌부리 ;;;;;;;;;;X
PROV1423;방콕 ;;;;;;;;;;X
PROV1424;나콘 사완 ;;;;;;;;;;X
PROV1425;치앙 마이 ;;;;;;;;;;X
PROV1426;핏사눌록 ;;;;;;;;;;X
PROV1427;콘 깬 ;;;;;;;;;;X
PROV1428;펫차분 ;;;;;;;;;;X
PROV1429;쁘라 쭈압 키리 칸 ;;;;;;;;;;X
PROV1430;수랏 타니 ;;;;;;;;;;X
PROV1431;송클라 ;;;;;;;;;;X
PROV1432;싱가포르 ;;;;;;;;;;X
PROV1433;코타 바루 ;;;;;;;;;;X
PROV1434;알로르 세타르 ;;;;;;;;;;X
PROV1435;이포 ;;;;;;;;;;X
PROV1436;콴탄 ;;;;;;;;;;X
PROV1437;조호르 바루 ;;;;;;;;;;X
PROV1438;쿠알라 룸푸르 ;;;;;;;;;;X
PROV1439;구와하티 ;;;;;;;;;;X
PROV1440;아이자울 ;;;;;;;;;;X
PROV1441;디브루가르 ;;;;;;;;;;X
PROV1442;임팔 ;;;;;;;;;;X
PROV1443;두브리 ;;;;;;;;;;X
PROV1444;쿨나 ;;;;;;;;;;X
PROV1445;다카 ;;;;;;;;;;X
PROV1446;실리구리 ;;;;;;;;;;X
PROV1447;콜카타 ;;;;;;;;;;X
PROV1448;카라그푸르 ;;;;;;;;;;X
PROV1449;라지샤히 ;;;;;;;;;;X
PROV1450;카타그람 ;;;;;;;;;;X
PROV1451;데라둔 ;;;;;;;;;;X
PROV1452;강토크 ;;;;;;;;;;X
PROV1453;다람살라 ;;;;;;;;;;X
PROV1454;심라 ;;;;;;;;;;X
PROV1455;이타나가르 ;;;;;;;;;;X
PROV1456;푸나카 ;;;;;;;;;;X
PROV1457;카트만두 ;;;;;;;;;;X
PROV1458;미피 ;;;;;;;;;;X
PROV1459;델리 ;;;;;;;;;;X
PROV1460;메루트 ;;;;;;;;;;X
PROV1461;러크나우 ;;;;;;;;;;X
PROV1462;무자파르푸르 ;;;;;;;;;;X
PROV1463;찬디가르 ;;;;;;;;;;X
PROV1464;바레일리 ;;;;;;;;;;X
PROV1465;파트나 ;;;;;;;;;;X
PROV1466;아라 ;;;;;;;;;;X
PROV1467;고라크푸르 ;;;;;;;;;;X
PROV1468;칸푸르 ;;;;;;;;;;X
PROV1469;라이가르 ;;;;;;;;;;X
PROV1470;발랑기르 ;;;;;;;;;;X
PROV1471;부바네스와르 ;;;;;;;;;;X
PROV1472;잠셰드푸르 ;;;;;;;;;;X
PROV1473;쿠타크 ;;;;;;;;;;X
PROV1474;제이포르 ;;;;;;;;;;X
PROV1475;바스타르 ;;;;;;;;;;X
PROV1476;란치 ;;;;;;;;;;X
PROV1477;라이푸르 ;;;;;;;;;;X
PROV1478;부란푸르 ;;;;;;;;;;X
PROV1479;저불포레 ;;;;;;;;;;X
PROV1480;보팔 ;;;;;;;;;;X
PROV1481;인도르 ;;;;;;;;;;X
PROV1482;아마라바티 ;;;;;;;;;;X
PROV1483;레와 ;;;;;;;;;;X
PROV1484;친드와라 ;;;;;;;;;;X
PROV1485;나그푸르 ;;;;;;;;;;X
PROV1486;아우랑가바드 ;;;;;;;;;;X
PROV1487;하이데라바드 ;;;;;;;;;;X
PROV1488;와랑갈 ;;;;;;;;;;X
PROV1489;니자마바드 ;;;;;;;;;;X
PROV1490;라이추르 ;;;;;;;;;;X
PROV1491;날곤다 ;;;;;;;;;;X
PROV1492;아딜라바드 ;;;;;;;;;;X
PROV1493;비자가파탐 ;;;;;;;;;;X
PROV1494;넬로르 ;;;;;;;;;;X
PROV1495;트리반드룸 ;;;;;;;;;;X
PROV1496;군투루 ;;;;;;;;;;X
PROV1497;코치 ;;;;;;;;;;X
PROV1498;비자야와다 ;;;;;;;;;;X
PROV1499;트리치노폴리 ;;;;;;;;;;X
PROV1500;마드라스 ;;;;;;;;;;X
PROV1501;아난타푸르 ;;;;;;;;;;X
PROV1502;벵갈로르 ;;;;;;;;;;X
PROV1503;망갈로르 ;;;;;;;;;;X
PROV1504;마두라이 ;;;;;;;;;;X
PROV1505;코임바토르 ;;;;;;;;;;X
PROV1506;살렘 ;;;;;;;;;;X
PROV1507;마이소르 ;;;;;;;;;;X
PROV1508;솔라푸르 ;;;;;;;;;;X
PROV1509;자프나 ;;;;;;;;;;X
PROV1510;캔디 ;;;;;;;;;;X
PROV1511;콜롬보 ;;;;;;;;;;X
PROV1512;콜라푸르 ;;;;;;;;;;X
PROV1513;빤짐 ;;;;;;;;;;X
PROV1514;나시크 ;;;;;;;;;;X
PROV1515;후블리 ;;;;;;;;;;X
PROV1516;푸나 ;;;;;;;;;;X
PROV1517;뭄바이 ;;;;;;;;;;X
PROV1518;아메다바드 ;;;;;;;;;;X
PROV1519;만드비 ;;;;;;;;;;X
PROV1520;수라트 ;;;;;;;;;;X
PROV1521;바로다 ;;;;;;;;;;X
PROV1522;라지코트 ;;;;;;;;;;X
PROV1523;괄리오르 ;;;;;;;;;;X
PROV1524;자이푸르 ;;;;;;;;;;X
PROV1525;조드푸르 ;;;;;;;;;;X
PROV1526;우다이푸르 ;;;;;;;;;;X
PROV1527;비카네르 ;;;;;;;;;;X
PROV1528;코타 ;;;;;;;;;;X
PROV1529;퀘타 ;;;;;;;;;;X
PROV1530;라호르 ;;;;;;;;;;X
PROV1531;루디아나 ;;;;;;;;;;X
PROV1532;나와브샤 ;;;;;;;;;;X
PROV1533;카라치 ;;;;;;;;;;X
PROV1534;라왈핀디 ;;;;;;;;;;X
PROV1535;암리차르 ;;;;;;;;;;X
PROV1536;바하왈나가르 ;;;;;;;;;;X
PROV1537;페샤와르 ;;;;;;;;;;X
PROV1538;그와다르 ;;;;;;;;;;X
PROV1539;무자파라바드 ;;;;;;;;;;X
PROV1540;스리나가르 ;;;;;;;;;;X
PROV1541;오하 ;;;;;;;;;;X
PROV1542;도요하라 ;;;;;;;;;;X
PROV1543;샤나 ;;;;;;;;;;X
PROV1544;구시로 ;;;;;;;;;;X
PROV1545;삿포로 ;;;;;;;;;;X
PROV1546;시즈오카 ;;;;;;;;;;X
PROV1547;아키타 ;;;;;;;;;;X
PROV1548;나가노 ;;;;;;;;;;X
PROV1549;센다이 ;;;;;;;;;;X
PROV1550;요코하마 ;;;;;;;;;;X
PROV1551;니가타 ;;;;;;;;;;X
PROV1552;도쿄 ;;;;;;;;;;X
PROV1553;오사카 ;;;;;;;;;;X
PROV1554;히로시마 ;;;;;;;;;;X
PROV1555;고베 ;;;;;;;;;;X
PROV1556;가나자와 ;;;;;;;;;;X
PROV1557;나고야 ;;;;;;;;;;X
PROV1558;교토 ;;;;;;;;;;X
PROV1559;마츠야마 ;;;;;;;;;;X
PROV1560;나가사키 ;;;;;;;;;;X
PROV1561;가고시마 ;;;;;;;;;;X
PROV1562;아마미 ;;;;;;;;;;X
PROV1563;오키나와 남부 ;;;;;;;;;;X
PROV1564;오키나와 북부 ;;;;;;;;;;X
PROV1565;마닐라 ;;;;;;;;;;X
PROV1566;카바나투안 ;;;;;;;;;;X
PROV1567;바기오 ;;;;;;;;;;X
PROV1568;레가스피 ;;;;;;;;;;X
PROV1569;올롱가포 ;;;;;;;;;;X
PROV1570;투게가라오 ;;;;;;;;;;X
PROV1571;민도로 ;;;;;;;;;;X
PROV1572;팔라완 ;;;;;;;;;;X
PROV1573;레이테 ;;;;;;;;;;X
PROV1574;세부 ;;;;;;;;;;X
PROV1575;사마르 ;;;;;;;;;;X
PROV1576;파나이 ;;;;;;;;;;X
PROV1577;홀로 ;;;;;;;;;;X
PROV1578;카가얀 데 오로 ;;;;;;;;;;X
PROV1579;다바오 ;;;;;;;;;;X
PROV1580;삼보앙가 ;;;;;;;;;;X
PROV1581;에파테 ;;;;;;;;;;X
PROV1582;에스피리투 산토 ;;;;;;;;;;X
PROV1583;말레쿨라 ;;;;;;;;;;X
PROV1584;탄나 ;;;;;;;;;;X
PROV1585;우베아 ;;;;;;;;;;X
PROV1586;누벨 칼레도니 ;;;;;;;;;;X
PROV1587;부갱빌 ;;;;;;;;;;X
PROV1588;산타 이사벨 ;;;;;;;;;;X
PROV1589;뉴조지아 ;;;;;;;;;;X
PROV1590;룽가 ;;;;;;;;;;X
PROV1591;말레이타 ;;;;;;;;;;X
PROV1592;넨도 ;;;;;;;;;;X
PROV1593;과달카날 ;;;;;;;;;;X
PROV1594;와메나 ;;;;;;;;;;X
PROV1595;안소에스 ;;;;;;;;;;X
PROV1596;홀란디아 ;;;;;;;;;;X
PROV1597;메라우케 ;;;;;;;;;;X
PROV1598;비랍 ;;;;;;;;;;X
PROV1599;마녹와리 ;;;;;;;;;;X
PROV1600;팍-팍 ;;;;;;;;;;X
PROV1601;와키아 ;;;;;;;;;;X
PROV1602;라에 ;;;;;;;;;;X
PROV1603;마운트 하겐 ;;;;;;;;;;X
PROV1604;포폰데타 ;;;;;;;;;;X
PROV1605;웨와크 ;;;;;;;;;;X
PROV1606;다루 ;;;;;;;;;;X
PROV1607;포트 모르즈비 ;;;;;;;;;;X
PROV1608;키웅가 ;;;;;;;;;;X
PROV1609;케레마 ;;;;;;;;;;X
PROV1610;멘디 ;;;;;;;;;;X
PROV1611;말레 ;;;;;;;;;;X
PROV1612;카라바티 ;;;;;;;;;;X
PROV1613;웨스트 아일랜드 ;;;;;;;;;;X
PROV1614;크리스마스 ;;;;;;;;;;X
PROV1615;플로레스 ;;;;;;;;;;X
PROV1616;쿠팡 ;;;;;;;;;;X
PROV1617;딜리 ;;;;;;;;;;X
PROV1618;아루 ;;;;;;;;;;X
PROV1619;얌데나 ;;;;;;;;;;X
PROV1620;할마헤라 ;;;;;;;;;;X
PROV1621;부루 ;;;;;;;;;;X
PROV1622;세람 ;;;;;;;;;;X
PROV1623;롱메라 ;;;;;;;;;;X
PROV1624;쿠칭 ;;;;;;;;;;X
PROV1625;반다르 스리 브가완 ;;;;;;;;;;X
PROV1626;제셀턴 ;;;;;;;;;;X
PROV1627;타라칸 ;;;;;;;;;;X
PROV1628;바콘 ;;;;;;;;;;X
PROV1629;싱카왕 ;;;;;;;;;;X
PROV1630;삼핏 ;;;;;;;;;;X
PROV1631;폰티아낙 ;;;;;;;;;;X
PROV1632;발릭파판 ;;;;;;;;;;X
PROV1633;반자르마신 ;;;;;;;;;;X
PROV1634;파칸 바하로에 ;;;;;;;;;;X
PROV1635;잠비 ;;;;;;;;;;X
PROV1636;팔렘방 ;;;;;;;;;;X
PROV1637;파당 ;;;;;;;;;;X
PROV1638;벵쿨루 ;;;;;;;;;;X
PROV1639;방카 ;;;;;;;;;;X
PROV1640;코에타-라자 ;;;;;;;;;;X
PROV1641;오스트하벤 ;;;;;;;;;;X
PROV1642;메단 ;;;;;;;;;;X
PROV1643;발리 ;;;;;;;;;;X
PROV1644;숨바와 ;;;;;;;;;;X
PROV1645;와잉가푸 ;;;;;;;;;;X
PROV1646;트지라찹 ;;;;;;;;;;X
PROV1647;바타비아 ;;;;;;;;;;X
PROV1648;트질레곤 ;;;;;;;;;;X
PROV1649;트지레본 ;;;;;;;;;;X
PROV1650;세마랑 ;;;;;;;;;;X
PROV1651;반둥 ;;;;;;;;;;X
PROV1652;렘방 ;;;;;;;;;;X
PROV1653;수라바야 ;;;;;;;;;;X
PROV1654;족자카르타 ;;;;;;;;;;X
PROV1655;말랑 ;;;;;;;;;;X
PROV1656;마두라 ;;;;;;;;;;X
PROV1657;마카사르 ;;;;;;;;;;X
PROV1658;켄다리 ;;;;;;;;;;X
PROV1659;마나도 ;;;;;;;;;;X
PROV1660;팔로 ;;;;;;;;;;X
PROV1661;이오지마 ;;;;;;;;;;X
PROV1662;치치지마 ;;;;;;;;;;X
PROV1663;모토야마 ;;;;;;;;;;X
PROV1664;수리바치 산 ;;;;;;;;;;X
PROV1665;포나페 ;;;;;;;;;;X
PROV1666;쿠사이에 ;;;;;;;;;;X
PROV1667;트루크 ;;;;;;;;;;X
PROV1668;올레아이 ;;;;;;;;;;X
PROV1669;야프 ;;;;;;;;;;X
PROV1670;펠렐리우 ;;;;;;;;;;X
PROV1671;클로울클루베드 ;;;;;;;;;;X
PROV1672;미나미 토리시마 ;;;;;;;;;;X
PROV1673;웨이크 ;;;;;;;;;;X
PROV1674;비키니 ;;;;;;;;;;X
PROV1675;에니웨톡 ;;;;;;;;;;X
PROV1676;콰잘레인 ;;;;;;;;;;X
PROV1677;마주로 ;;;;;;;;;;X
PROV1678;마킨 ;;;;;;;;;;X
PROV1679;아베마마 ;;;;;;;;;;X
PROV1680;타라와 ;;;;;;;;;;X
PROV1681;워체 ;;;;;;;;;;X
PROV1682;나우루 ;;;;;;;;;;X
PROV1683;괌 ;;;;;;;;;;X
PROV1684;로타 ;;;;;;;;;;X
PROV1685;사이판 ;;;;;;;;;;X
PROV1686;파간 ;;;;;;;;;;X
PROV1687;푸나푸티 ;;;;;;;;;;X
PROV1688;카나본 ;;;;;;;;;;X
PROV1689;노샘 ;;;;;;;;;;X
PROV1690;퍼스 ;;;;;;;;;;X
PROV1691;올버니 ;;;;;;;;;;X
PROV1692;제럴턴 ;;;;;;;;;;X
PROV1693;캘굴리 ;;;;;;;;;;X
PROV1694;콜리 ;;;;;;;;;;X
PROV1695;포트 헤들랜드 ;;;;;;;;;;X
PROV1696;캐서린 ;;;;;;;;;;X
PROV1697;다윈 ;;;;;;;;;;X
PROV1698;브룸 ;;;;;;;;;;X
PROV1699;타운즈빌 ;;;;;;;;;;X
PROV1700;록햄프턴 ;;;;;;;;;;X
PROV1701;캐언즈 ;;;;;;;;;;X
PROV1702;터움바 ;;;;;;;;;;X
PROV1703;뉴캐슬 ;;;;;;;;;;X
PROV1704;브리즈번 ;;;;;;;;;;X
PROV1705;시드니 ;;;;;;;;;;X
PROV1706;울런공 ;;;;;;;;;;X
PROV1707;캔버라 ;;;;;;;;;;X
PROV1708;멜버른 ;;;;;;;;;;X
PROV1709;절롱 ;;;;;;;;;;X
PROV1710;호바트 ;;;;;;;;;;X
PROV1711;포트 링컨 ;;;;;;;;;;X
PROV1712;애들레이드 ;;;;;;;;;;X
PROV1713;로브 ;;;;;;;;;;X
PROV1714;마운트 아이자 ;;;;;;;;;;X
PROV1715;포트 오거스타 ;;;;;;;;;;X
PROV1716;앨리스 스프링스 ;;;;;;;;;;X
PROV1717;와가 와가 ;;;;;;;;;;X
PROV1718;네이피어 ;;;;;;;;;;X
PROV1719;해밀턴 ;;;;;;;;;;X
PROV1720;오클랜드 ;;;;;;;;;;X
PROV1721;웰링턴 ;;;;;;;;;;X
PROV1722;크라이스트처치 ;;;;;;;;;;X
PROV1723;더니든 ;;;;;;;;;;X
PROV1724;마누스 ;;;;;;;;;;X
PROV1725;카비엥 ;;;;;;;;;;X
PROV1726;라바울 ;;;;;;;;;;X
PROV1727;킴베 ;;;;;;;;;;X
PROV1728;수바 ;;;;;;;;;;X
PROV1729;라바사 ;;;;;;;;;;X
PROV1730;마타우투 ;;;;;;;;;;X
PROV1731;아피아 ;;;;;;;;;;X
PROV1732;누쿠노누 ;;;;;;;;;;X
PROV1733;파고 파고 ;;;;;;;;;;X
PROV1734;진주만 ;;;;;;;;;;X
PROV1735;카우아이 ;;;;;;;;;;X
PROV1736;하와이 ;;;;;;;;;;X
PROV1737;마우이 ;;;;;;;;;;X
PROV1738;존스턴 ;;;;;;;;;;X
PROV1739;미드웨이 ;;;;;;;;;;X
PROV1740;리키테아 ;;;;;;;;;;X
PROV1741;로토 ;;;;;;;;;;X
PROV1742;아바루아 ;;;;;;;;;;X
PROV1743;파페에테 ;;;;;;;;;;X
PROV1744;타이오하에 ;;;;;;;;;;X
PROV1745;자르비스 섬 ;;;;;;;;;;X
PROV1746;키리티마티 섬 ;;;;;;;;;;X
PROV1747;팔미라 ;;;;;;;;;;X
PROV1748;알로피 ;;;;;;;;;;X
PROV1749;누쿠알로파 ;;;;;;;;;;X
PROV1750;캔턴 ;;;;;;;;;;X
